timestamp,elapsed_seconds,dominant_emotion,confidence,all_emotions,face_box
2025-09-03T18:06:02.076433,9.69,neutral,0.4,"{'angry': 0.09, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.4, 'sad': 0.2, 'surprise': 0.02, 'neutral': 0.23}","[310, 125, 115, 145]"
2025-09-03T18:06:02.230609,9.85,neutral,0.6,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.21, 'sad': 0.06, 'surprise': 0.02, 'neutral': 0.6}","[311, 118, 121, 155]"
2025-09-03T18:06:02.430290,10.05,neutral,0.34,"{'angry': 0.16, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.18, 'sad': 0.21, 'surprise': 0.02, 'neutral': 0.34}","[316, 119, 118, 153]"
2025-09-03T18:06:02.584945,10.2,neutral,0.59,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.2, 'sad': 0.08, 'surprise': 0.02, 'neutral': 0.59}","[319, 117, 121, 154]"
2025-09-03T18:06:02.739846,10.36,neutral,0.57,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.19, 'sad': 0.07, 'surprise': 0.04, 'neutral': 0.57}","[322, 118, 120, 152]"
2025-09-03T18:06:02.894922,10.51,neutral,0.67,"{'angry': 0.08, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.08, 'sad': 0.09, 'surprise': 0.03, 'neutral': 0.67}","[322, 118, 119, 152]"
2025-09-03T18:06:03.050903,10.67,neutral,0.5,"{'angry': 0.08, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.26, 'sad': 0.08, 'surprise': 0.04, 'neutral': 0.5}","[322, 117, 119, 153]"
2025-09-03T18:06:03.221741,10.84,neutral,0.43,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.36, 'sad': 0.05, 'surprise': 0.06, 'neutral': 0.43}","[323, 117, 118, 153]"
2025-09-03T18:06:03.410090,11.03,neutral,0.38,"{'angry': 0.19, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.38, 'sad': 0.1, 'surprise': 0.05, 'neutral': 0.21}","[320, 115, 121, 152]"
2025-09-03T18:06:03.579739,11.2,neutral,0.41,"{'angry': 0.09, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.02, 'sad': 0.29, 'surprise': 0.12, 'neutral': 0.41}","[324, 118, 119, 150]"
2025-09-03T18:06:03.734818,11.35,neutral,0.56,"{'angry': 0.09, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.06, 'sad': 0.17, 'surprise': 0.04, 'neutral': 0.56}","[324, 117, 120, 158]"
2025-09-03T18:06:03.891040,11.51,neutral,0.42,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.13, 'happy': 0.04, 'sad': 0.42, 'surprise': 0.05, 'neutral': 0.3}","[323, 117, 123, 157]"
2025-09-03T18:06:04.045552,11.66,neutral,0.35,"{'angry': 0.17, 'disgust': 0.03, 'fear': 0.09, 'happy': 0.04, 'sad': 0.27, 'surprise': 0.06, 'neutral': 0.35}","[337, 128, 122, 157]"
2025-09-03T18:06:04.216402,11.83,neutral,0.41,"{'angry': 0.21, 'disgust': 0.04, 'fear': 0.07, 'happy': 0.06, 'sad': 0.41, 'surprise': 0.03, 'neutral': 0.18}","[352, 139, 113, 153]"
2025-09-03T18:06:04.369865,11.99,neutral,0.36,"{'angry': 0.36, 'disgust': 0.02, 'fear': 0.12, 'happy': 0.04, 'sad': 0.21, 'surprise': 0.04, 'neutral': 0.21}","[375, 203, 117, 151]"
2025-09-03T18:06:04.523534,12.14,neutral,0.26,"{'angry': 0.2, 'disgust': 0.03, 'fear': 0.07, 'happy': 0.18, 'sad': 0.26, 'surprise': 0.03, 'neutral': 0.23}","[351, 165, 115, 151]"
2025-09-03T18:06:04.663954,12.28,neutral,0.36,"{'angry': 0.22, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.04, 'sad': 0.27, 'surprise': 0.03, 'neutral': 0.36}","[359, 200, 118, 151]"
2025-09-03T18:06:04.818012,12.44,neutral,0.46,"{'angry': 0.16, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.46, 'sad': 0.26, 'surprise': 0.01, 'neutral': 0.06}","[372, 167, 121, 158]"
2025-09-03T18:06:04.958369,12.58,neutral,0.4,"{'angry': 0.14, 'disgust': 0.02, 'fear': 0.13, 'happy': 0.04, 'sad': 0.25, 'surprise': 0.03, 'neutral': 0.4}","[388, 140, 147, 185]"
